mode,coupling_model,case,v_ms,lambda_uev,delta_P_v,delta_chi_phi,S_M2,S_M1V,P_v_M2,P_v_M1V,chi_M2,chi_M1
full_lite,A_pocket,case_i_center,2.0,1.0,1.255827e-04,-3.895728e-04,1.505700e-01,1.473545e-01,3.114163e-02,3.101605e-02,5.662855e-03,6.052427e-03
full_lite,A_pocket,case_i_center,5.0,0.0,-2.344587e-18,2.255141e-16,1.355049e-14,2.082227e-15,6.949683e-05,6.949683e-05,1.828042e-02,1.828042e-02
full_lite,A_pocket,case_i_center,5.0,0.25,-8.525025e-05,4.804582e-04,1.561213e-02,1.671981e-02,1.647347e-03,1.732598e-03,2.471315e-02,2.423270e-02
full_lite,A_pocket,case_i_center,5.0,0.5,5.782687e-05,1.827861e-03,5.562485e-02,5.416316e-02,6.688305e-03,6.630478e-03,1.394773e-02,1.211987e-02
full_lite,A_pocket,case_i_center,5.0,1.0,-1.634715e-04,3.029938e-02,1.635300e-01,1.638811e-01,2.541176e-02,2.557523e-02,8.966322e-02,5.936385e-02
full_lite,A_pocket,case_i_center,10.0,0.0,8.605855e-19,1.337472e-15,3.331564e-15,5.125482e-15,3.299178e-05,3.299178e-05,8.191510e-03,8.191510e-03
full_lite,A_pocket,case_i_center,10.0,0.25,2.504739e-03,-1.034566e-03,5.242757e-02,3.575061e-02,1.148932e-02,8.984586e-03,1.755769e-02,1.859226e-02
full_lite,A_pocket,case_i_center,10.0,0.5,7.479391e-04,-4.201795e-03,1.110751e-01,1.056345e-01,3.625720e-02,3.550926e-02,2.680909e-02,3.101089e-02
full_lite,A_pocket,case_i_center,10.0,1.0,4.525965e-03,-1.357722e-03,2.511004e-01,2.378958e-01,1.326407e-01,1.281148e-01,1.071552e-03,2.429273e-03
full_lite,A_pocket,case_i_center,20.0,0.0,-8.836248e-18,0.000000e+00,6.502956e-15,0.000000e+00,4.542335e-04,4.542335e-04,8.103601e-04,8.103601e-04
full_lite,A_pocket,case_i_center,20.0,0.25,-2.980211e-05,2.026812e-05,6.742346e-02,6.738461e-02,9.992558e-03,1.002236e-02,2.434145e-03,2.413877e-03
full_lite,A_pocket,case_i_center,20.0,0.5,-6.429390e-05,-3.933218e-05,2.009150e-01,2.002385e-01,3.770228e-02,3.776658e-02,3.523091e-03,3.562423e-03
full_lite,A_pocket,case_i_center,20.0,1.0,-1.705254e-04,-2.747051e-04,5.021317e-01,5.021881e-01,1.393029e-01,1.394734e-01,1.809270e-03,2.083975e-03
full_lite,A_pocket,case_ii_edge,2.0,0.0,-2.331035e-18,2.853273e-14,1.383880e-14,7.111607e-14,1.049770e-04,1.049770e-04,7.567981e-01,7.567981e-01
full_lite,A_pocket,case_ii_edge,2.0,0.25,3.348110e-03,-3.836806e-01,7.498017e-02,1.084494e-01,8.352266e-01,8.318785e-01,6.487124e-01,1.032393e+00
full_lite,A_pocket,case_ii_edge,2.0,0.5,-2.374015e-03,-1.090700e-02,4.371074e-01,4.442122e-01,1.119708e-01,1.143448e-01,2.463032e-01,2.572103e-01
full_lite,A_pocket,case_ii_edge,2.0,1.0,-1.383973e-04,4.598806e-01,1.890698e-02,1.811394e-02,1.955656e-03,2.094054e-03,1.789300e+00,1.329419e+00
