model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A,case_ii_edge,5.0,1.0,half_z_nm+,-1.529691e-02,-1.814567e-01
A,case_ii_edge,5.0,1.0,half_z_nm-,-1.589673e-04,-4.981092e-03
A,case_ii_edge,5.0,1.0,period_nm+,7.254181e-05,6.067589e-02
A,case_ii_edge,5.0,1.0,period_nm-,7.322905e-04,2.181077e-03
A,case_ii_edge,10.0,0.5,baseline,-1.781695e-03,-6.477133e-03
A,case_ii_edge,10.0,0.5,depth_nm+,6.927052e-04,1.034025e-03
A,case_ii_edge,10.0,0.5,depth_nm-,4.408117e-04,2.510220e-03
A,case_ii_edge,10.0,0.5,half_x_nm+,-6.621070e-03,1.148557e-02
A,case_ii_edge,10.0,0.5,half_x_nm-,1.557662e-03,-5.704065e-03
A,case_ii_edge,10.0,0.5,half_z_nm+,-1.032572e-02,1.379021e-02
A,case_ii_edge,10.0,0.5,half_z_nm-,1.366174e-03,-1.228393e-03
A,case_ii_edge,10.0,0.5,period_nm+,4.216058e-05,-3.609483e-04
A,case_ii_edge,10.0,0.5,period_nm-,2.312182e-03,4.142336e-05
A,case_ii_edge,10.0,1.0,baseline,-2.059165e-03,-9.832547e-03
A,case_ii_edge,10.0,1.0,depth_nm+,-2.123127e-03,9.012273e-03
A,case_ii_edge,10.0,1.0,depth_nm-,-6.134352e-04,1.182324e-02
A,case_ii_edge,10.0,1.0,half_x_nm+,4.421237e-03,5.256329e-02
A,case_ii_edge,10.0,1.0,half_x_nm-,-1.723205e-03,-4.530648e-02
A,case_ii_edge,10.0,1.0,half_z_nm+,6.522724e-03,4.560305e-02
A,case_ii_edge,10.0,1.0,half_z_nm-,-1.587537e-03,2.146099e-02
A,case_ii_edge,10.0,1.0,period_nm+,2.310596e-05,-2.176016e-03
A,case_ii_edge,10.0,1.0,period_nm-,-1.582716e-03,8.389802e-04
A,case_ii_edge,20.0,0.5,baseline,-4.656325e-04,4.647174e-04
A,case_ii_edge,20.0,0.5,depth_nm+,-3.298473e-05,-2.132853e-03
A,case_ii_edge,20.0,0.5,depth_nm-,-1.843516e-04,2.378798e-03
A,case_ii_edge,20.0,0.5,half_x_nm+,-5.797459e-04,7.137563e-05
A,case_ii_edge,20.0,0.5,half_x_nm-,-1.639615e-04,-8.595249e-04
A,case_ii_edge,20.0,0.5,half_z_nm+,-5.519408e-04,-3.001812e-03
A,case_ii_edge,20.0,0.5,half_z_nm-,-1.920906e-04,1.009059e-03
A,case_ii_edge,20.0,0.5,period_nm+,-1.809909e-06,-2.311015e-04
A,case_ii_edge,20.0,0.5,period_nm-,-5.900168e-04,-5.356172e-05
A,case_ii_edge,20.0,1.0,baseline,9.718664e-04,-8.204059e-03
A,case_ii_edge,20.0,1.0,depth_nm+,-6.397092e-04,-1.720302e-02
A,case_ii_edge,20.0,1.0,depth_nm-,4.009796e-04,5.984127e-02
A,case_ii_edge,20.0,1.0,half_x_nm+,1.360573e-04,3.663577e-02
A,case_ii_edge,20.0,1.0,half_x_nm-,5.839984e-04,-7.168241e-03
A,case_ii_edge,20.0,1.0,half_z_nm+,-3.347469e-04,-1.651718e-02
A,case_ii_edge,20.0,1.0,half_z_nm-,5.751004e-04,6.928432e-03
A,case_ii_edge,20.0,1.0,period_nm+,1.727029e-05,-1.032216e-03
A,case_ii_edge,20.0,1.0,period_nm-,-1.845996e-04,3.985092e-03
A_pocket,case_i_center,5.0,0.5,baseline,1.292488e-06,3.607160e-03
A_pocket,case_i_center,5.0,0.5,depth_nm+,-3.422717e-03,-1.954525e-02
A_pocket,case_i_center,5.0,0.5,depth_nm-,1.920157e-06,-8.457281e-05
A_pocket,case_i_center,5.0,0.5,half_x_nm+,3.178630e-03,-8.159706e-03
A_pocket,case_i_center,5.0,0.5,half_x_nm-,-2.381211e-03,-3.797215e-03
A_pocket,case_i_center,5.0,0.5,half_z_nm+,9.215278e-06,-2.987858e-03
A_pocket,case_i_center,5.0,0.5,half_z_nm-,-6.408480e-04,-3.692798e-03
A_pocket,case_i_center,5.0,0.5,period_nm+,-7.862645e-06,-2.136106e-02
A_pocket,case_i_center,5.0,0.5,period_nm-,1.995984e-05,-3.117586e-04
A_pocket,case_i_center,5.0,1.0,baseline,-9.838317e-04,6.662242e-03
A_pocket,case_i_center,5.0,1.0,depth_nm+,6.187598e-03,-2.383870e-02
A_pocket,case_i_center,5.0,1.0,depth_nm-,-1.528619e-05,4.580466e-05
A_pocket,case_i_center,5.0,1.0,half_x_nm+,-1.693743e-02,-9.316355e-04
A_pocket,case_i_center,5.0,1.0,half_x_nm-,8.061150e-03,2.428119e-03
A_pocket,case_i_center,5.0,1.0,half_z_nm+,-2.695376e-04,-6.567009e-04
A_pocket,case_i_center,5.0,1.0,half_z_nm-,1.284652e-03,-7.647981e-03
A_pocket,case_i_center,5.0,1.0,period_nm+,-7.201010e-06,-1.071099e-02
A_pocket,case_i_center,5.0,1.0,period_nm-,-2.346750e-05,2.513583e-04
A_pocket,case_i_center,10.0,0.5,baseline,1.901214e-03,-4.739126e-04
A_pocket,case_i_center,10.0,0.5,depth_nm+,1.988018e-05,8.399293e-04
A_pocket,case_i_center,10.0,0.5,depth_nm-,-1.178026e-05,-3.372943e-05
A_pocket,case_i_center,10.0,0.5,half_x_nm+,-1.507660e-04,3.085290e-03
A_pocket,case_i_center,10.0,0.5,half_x_nm-,-7.786685e-04,-3.923850e-02
A_pocket,case_i_center,10.0,0.5,half_z_nm+,-8.633523e-04,1.201081e-02
A_pocket,case_i_center,10.0,0.5,half_z_nm-,-2.997372e-04,-3.548799e-04
A_pocket,case_i_center,10.0,0.5,period_nm+,-1.281002e-05,-2.679850e-04
A_pocket,case_i_center,10.0,0.5,period_nm-,2.469488e-04,-1.187103e-04
A_pocket,case_i_center,10.0,1.0,baseline,-1.156991e-04,-6.097524e-03
A_pocket,case_i_center,10.0,1.0,depth_nm+,-8.458610e-05,1.511110e-04
A_pocket,case_i_center,10.0,1.0,depth_nm-,4.104949e-06,2.299120e-05
A_pocket,case_i_center,10.0,1.0,half_x_nm+,-1.597187e-04,1.273388e-02
A_pocket,case_i_center,10.0,1.0,half_x_nm-,5.152571e-04,-2.157629e-01
A_pocket,case_i_center,10.0,1.0,half_z_nm+,-8.581956e-04,2.470757e-02
A_pocket,case_i_center,10.0,1.0,half_z_nm-,1.795712e-04,-8.156943e-04
A_pocket,case_i_center,10.0,1.0,period_nm+,-4.570372e-05,-3.920102e-04
A_pocket,case_i_center,10.0,1.0,period_nm-,-1.676153e-04,9.882532e-05
A_pocket,case_i_center,20.0,0.5,baseline,-7.372264e-05,-3.204465e-05
A_pocket,case_i_center,20.0,0.5,depth_nm+,2.029954e-05,-3.577015e-05
A_pocket,case_i_center,20.0,0.5,depth_nm-,1.989557e-06,2.312041e-05
A_pocket,case_i_center,20.0,0.5,half_x_nm+,-8.456045e-04,-6.494295e-03
A_pocket,case_i_center,20.0,0.5,half_x_nm-,3.704268e-04,-5.724412e-04
A_pocket,case_i_center,20.0,0.5,half_z_nm+,-6.258890e-04,-8.361767e-02
A_pocket,case_i_center,20.0,0.5,half_z_nm-,1.557705e-04,-1.660586e-04
A_pocket,case_i_center,20.0,0.5,period_nm+,6.168064e-05,-8.800565e-06
A_pocket,case_i_center,20.0,0.5,period_nm-,2.258916e-04,-1.051300e-04
A_pocket,case_i_center,20.0,1.0,baseline,3.654140e-04,-1.329098e-04
A_pocket,case_i_center,20.0,1.0,depth_nm+,-5.784422e-04,-1.435826e-04
A_pocket,case_i_center,20.0,1.0,depth_nm-,2.237335e-05,2.629511e-05
A_pocket,case_i_center,20.0,1.0,half_x_nm+,-2.320349e-03,-2.047964e-02
A_pocket,case_i_center,20.0,1.0,half_x_nm-,7.348265e-04,-5.658090e-04
A_pocket,case_i_center,20.0,1.0,half_z_nm+,-2.011011e-03,-9.607670e-02
A_pocket,case_i_center,20.0,1.0,half_z_nm-,3.379343e-04,-8.710956e-05
A_pocket,case_i_center,20.0,1.0,period_nm+,2.451248e-04,-4.117865e-06
A_pocket,case_i_center,20.0,1.0,period_nm-,6.915212e-04,-5.594134e-05
A_pocket,case_ii_edge,5.0,0.5,baseline,-9.343666e-03,2.920866e-01
A_pocket,case_ii_edge,5.0,0.5,depth_nm+,2.101178e-03,-4.155397e-02
A_pocket,case_ii_edge,5.0,0.5,depth_nm-,-2.389453e-04,5.436813e-03
A_pocket,case_ii_edge,5.0,0.5,half_x_nm+,9.845951e-03,-8.401593e-02
A_pocket,case_ii_edge,5.0,0.5,half_x_nm-,-3.117450e-04,-3.171332e-02
A_pocket,case_ii_edge,5.0,0.5,half_z_nm+,2.854208e-03,-2.427686e-02
A_pocket,case_ii_edge,5.0,0.5,half_z_nm-,-7.385472e-04,3.872218e-02
A_pocket,case_ii_edge,5.0,0.5,period_nm+,-6.613778e-05,-2.415000e-03
A_pocket,case_ii_edge,5.0,0.5,period_nm-,-3.502143e-03,1.659152e-04
A_pocket,case_ii_edge,5.0,1.0,baseline,-3.870615e-04,-5.926056e-02
A_pocket,case_ii_edge,5.0,1.0,depth_nm+,1.177748e-02,-1.105385e-02
A_pocket,case_ii_edge,5.0,1.0,depth_nm-,1.695086e-04,9.677634e-04
A_pocket,case_ii_edge,5.0,1.0,half_x_nm+,4.160335e-03,8.686414e-03
A_pocket,case_ii_edge,5.0,1.0,half_x_nm-,2.042000e-05,1.179814e-03
A_pocket,case_ii_edge,5.0,1.0,half_z_nm+,1.974210e-02,-6.992444e-02
A_pocket,case_ii_edge,5.0,1.0,half_z_nm-,4.126631e-04,3.388465e-03
A_pocket,case_ii_edge,5.0,1.0,period_nm+,-2.773277e-05,-4.670932e-04
A_pocket,case_ii_edge,5.0,1.0,period_nm-,-9.001656e-04,-1.036224e-05
A_pocket,case_ii_edge,10.0,0.5,baseline,-2.964880e-04,-3.031455e-02
