model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A_pocket,case_ii_edge,20.0,1.0,baseline,-4.286324e-06,-8.256129e-05
A_pocket,case_ii_edge,20.0,1.0,period_nm-,-2.594313e-05,-1.142971e-08
A_pocket,case_ii_edge,20.0,1.0,period_nm+,-5.381153e-05,-1.047987e-04
A_pocket,case_ii_edge,20.0,1.0,depth_nm-,4.522480e-05,-9.598129e-06
A_pocket,case_ii_edge,20.0,1.0,depth_nm+,2.848861e-05,-1.145946e-04
A_pocket,case_ii_edge,20.0,1.0,half_x_nm-,-5.791763e-05,-3.780498e-05
A_pocket,case_ii_edge,20.0,1.0,half_x_nm+,7.428980e-05,-4.595506e-06
A_pocket,case_ii_edge,20.0,1.0,half_z_nm-,-2.278318e-05,-5.713615e-05
A_pocket,case_ii_edge,20.0,1.0,half_z_nm+,-2.791172e-05,-1.282815e-04
B_z,case_ii_edge,10.0,0.5,baseline,3.124467e-03,-6.250316e-04
B_z,case_ii_edge,10.0,0.5,period_nm-,-3.493899e-04,3.206859e-05
B_z,case_ii_edge,10.0,0.5,period_nm+,5.691692e-03,6.169597e-05
B_z,case_ii_edge,10.0,0.5,depth_nm-,-2.766685e-03,-1.486603e-04
B_z,case_ii_edge,10.0,0.5,depth_nm+,-3.946167e-04,-2.328639e-03
B_z,case_ii_edge,10.0,0.5,half_x_nm-,-4.146108e-04,7.670960e-04
B_z,case_ii_edge,10.0,0.5,half_x_nm+,-4.972014e-03,5.438319e-04
B_z,case_ii_edge,10.0,0.5,half_z_nm-,3.131097e-03,1.095223e-04
B_z,case_ii_edge,10.0,0.5,half_z_nm+,4.243493e-03,-4.989705e-04
B_z,case_ii_edge,10.0,1.0,baseline,-1.826468e-02,2.076806e-05
B_z,case_ii_edge,10.0,1.0,period_nm-,3.696441e-03,4.596071e-05
B_z,case_ii_edge,10.0,1.0,period_nm+,-2.532912e-02,2.577516e-04
B_z,case_ii_edge,10.0,1.0,depth_nm-,1.230762e-02,-1.169020e-04
B_z,case_ii_edge,10.0,1.0,depth_nm+,-6.248114e-03,-1.234841e-03
B_z,case_ii_edge,10.0,1.0,half_x_nm-,5.366247e-03,3.744018e-04
B_z,case_ii_edge,10.0,1.0,half_x_nm+,2.477547e-02,1.338155e-04
B_z,case_ii_edge,10.0,1.0,half_z_nm-,-1.509383e-02,2.461200e-04
B_z,case_ii_edge,10.0,1.0,half_z_nm+,-2.247807e-02,3.071120e-04
B_z,case_ii_edge,20.0,0.5,baseline,-4.360061e-04,-1.156908e-03
B_z,case_ii_edge,20.0,0.5,period_nm-,2.803886e-04,-4.775712e-08
B_z,case_ii_edge,20.0,0.5,period_nm+,-3.143781e-04,-1.316161e-03
B_z,case_ii_edge,20.0,0.5,depth_nm-,-6.779538e-04,-1.760354e-04
B_z,case_ii_edge,20.0,0.5,depth_nm+,-6.163109e-04,-1.610070e-03
B_z,case_ii_edge,20.0,0.5,half_x_nm-,5.567065e-04,-2.858128e-04
B_z,case_ii_edge,20.0,0.5,half_x_nm+,-1.020153e-03,-7.175865e-05
B_z,case_ii_edge,20.0,0.5,half_z_nm-,4.322435e-05,-7.328716e-04
B_z,case_ii_edge,20.0,0.5,half_z_nm+,-1.099166e-04,-1.579972e-03
B_z,case_ii_edge,20.0,1.0,baseline,-4.080266e-04,-7.263845e-04
B_z,case_ii_edge,20.0,1.0,period_nm-,8.593471e-04,-1.088969e-06
B_z,case_ii_edge,20.0,1.0,period_nm+,4.757689e-04,-7.448872e-04
B_z,case_ii_edge,20.0,1.0,depth_nm-,-1.498111e-03,-8.138226e-05
B_z,case_ii_edge,20.0,1.0,depth_nm+,-1.113313e-03,-9.356312e-04
B_z,case_ii_edge,20.0,1.0,half_x_nm-,1.540569e-03,-1.533823e-04
B_z,case_ii_edge,20.0,1.0,half_x_nm+,-2.459386e-03,5.660510e-05
B_z,case_ii_edge,20.0,1.0,half_z_nm-,5.304005e-04,-4.589646e-04
B_z,case_ii_edge,20.0,1.0,half_z_nm+,4.059116e-04,-9.965348e-04
B_x,case_ii_edge,10.0,0.5,baseline,-2.394457e-02,-3.964469e-05
B_x,case_ii_edge,10.0,0.5,period_nm-,6.133021e-03,6.042719e-05
B_x,case_ii_edge,10.0,0.5,period_nm+,-1.860924e-02,1.931729e-04
B_x,case_ii_edge,10.0,0.5,depth_nm-,1.415419e-02,-2.121613e-04
B_x,case_ii_edge,10.0,0.5,depth_nm+,-1.153213e-02,-2.621330e-03
B_x,case_ii_edge,10.0,0.5,half_x_nm-,7.839025e-03,6.657201e-04
B_x,case_ii_edge,10.0,0.5,half_x_nm+,3.000521e-02,-5.636468e-05
B_x,case_ii_edge,10.0,0.5,half_z_nm-,-1.839782e-02,3.378297e-04
B_x,case_ii_edge,10.0,0.5,half_z_nm+,-3.195480e-02,5.646317e-04
B_x,case_ii_edge,10.0,1.0,baseline,-1.995264e-02,5.376393e-03
B_x,case_ii_edge,10.0,1.0,period_nm-,7.728359e-03,5.602785e-04
B_x,case_ii_edge,10.0,1.0,period_nm+,-1.527711e-02,3.104622e-03
B_x,case_ii_edge,10.0,1.0,depth_nm-,9.057449e-03,-2.487472e-04
B_x,case_ii_edge,10.0,1.0,depth_nm+,-1.632492e-02,-2.074126e-02
B_x,case_ii_edge,10.0,1.0,half_x_nm-,9.895975e-03,5.349633e-03
B_x,case_ii_edge,10.0,1.0,half_x_nm+,2.191287e-02,6.257702e-03
B_x,case_ii_edge,10.0,1.0,half_z_nm-,-1.325572e-02,4.427024e-03
B_x,case_ii_edge,10.0,1.0,half_z_nm+,-2.428091e-02,1.040441e-02
B_x,case_ii_edge,20.0,0.5,baseline,3.318064e-05,-2.080958e-05
B_x,case_ii_edge,20.0,0.5,period_nm-,-1.472421e-04,1.066768e-06
B_x,case_ii_edge,20.0,0.5,period_nm+,-4.137215e-05,-1.758157e-05
B_x,case_ii_edge,20.0,0.5,depth_nm-,1.782860e-04,-2.447367e-06
B_x,case_ii_edge,20.0,0.5,depth_nm+,2.156227e-04,-4.172226e-05
B_x,case_ii_edge,20.0,0.5,half_x_nm-,-2.181150e-04,-5.451016e-06
B_x,case_ii_edge,20.0,0.5,half_x_nm+,3.226526e-04,-7.457780e-07
B_x,case_ii_edge,20.0,0.5,half_z_nm-,-7.104396e-05,-1.203886e-05
B_x,case_ii_edge,20.0,0.5,half_z_nm+,-6.734451e-05,-3.196314e-05
B_x,case_ii_edge,20.0,1.0,baseline,-7.192991e-04,-3.668879e-03
B_x,case_ii_edge,20.0,1.0,period_nm-,3.885973e-03,2.592551e-05
B_x,case_ii_edge,20.0,1.0,period_nm+,1.085448e-03,-1.828671e-03
B_x,case_ii_edge,20.0,1.0,depth_nm-,-4.200279e-03,-2.102244e-04
B_x,case_ii_edge,20.0,1.0,depth_nm+,-6.256542e-03,-6.880211e-03
B_x,case_ii_edge,20.0,1.0,half_x_nm-,5.261411e-03,-3.653177e-04
B_x,case_ii_edge,20.0,1.0,half_x_nm+,-7.977184e-03,6.211739e-04
B_x,case_ii_edge,20.0,1.0,half_z_nm-,1.677854e-03,-1.970481e-03
B_x,case_ii_edge,20.0,1.0,half_z_nm+,1.049619e-03,-5.618843e-03
