model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A,case_ii_edge,20.0,1.0,half_x_nm-,-1.383996e-03,-6.587168e-03
A,case_ii_edge,20.0,1.0,half_z_nm+,-3.741363e-03,-1.513936e-02
A,case_ii_edge,20.0,1.0,half_z_nm-,-1.481629e-03,6.372359e-03
A,case_ii_edge,20.0,1.0,period_nm+,6.333821e-06,-9.606213e-04
A,case_ii_edge,20.0,1.0,period_nm-,-3.518355e-03,3.656999e-03
A_pocket,case_i_center,5.0,0.5,baseline,3.288041e-05,4.013581e-03
A_pocket,case_i_center,5.0,0.5,depth_nm+,-5.094224e-03,-2.519002e-02
A_pocket,case_i_center,5.0,0.5,depth_nm-,3.575631e-06,-1.021036e-04
A_pocket,case_i_center,5.0,0.5,half_x_nm+,4.937675e-03,-9.939381e-03
A_pocket,case_i_center,5.0,0.5,half_x_nm-,-3.473691e-03,-3.737243e-03
A_pocket,case_i_center,5.0,0.5,half_z_nm+,8.713087e-06,-3.425112e-03
A_pocket,case_i_center,5.0,0.5,half_z_nm-,-8.978449e-04,-4.117106e-03
A_pocket,case_i_center,5.0,0.5,period_nm+,-8.258392e-06,-2.686722e-02
A_pocket,case_i_center,5.0,0.5,period_nm-,2.394764e-05,-3.826042e-04
A_pocket,case_i_center,5.0,1.0,baseline,-1.054697e-03,8.368957e-03
A_pocket,case_i_center,5.0,1.0,depth_nm+,5.875066e-03,-2.552825e-02
A_pocket,case_i_center,5.0,1.0,depth_nm-,-1.479676e-05,5.826562e-05
A_pocket,case_i_center,5.0,1.0,half_x_nm+,-1.727584e-02,-1.015613e-03
A_pocket,case_i_center,5.0,1.0,half_x_nm-,7.915971e-03,3.352340e-03
A_pocket,case_i_center,5.0,1.0,half_z_nm+,-2.892944e-04,-8.212358e-04
A_pocket,case_i_center,5.0,1.0,half_z_nm-,1.182980e-03,-9.658615e-03
A_pocket,case_i_center,5.0,1.0,period_nm+,-7.456249e-06,-1.150030e-02
A_pocket,case_i_center,5.0,1.0,period_nm-,-3.762155e-05,3.200186e-04
A_pocket,case_i_center,20.0,0.5,baseline,-9.912300e-05,-3.675429e-05
A_pocket,case_i_center,20.0,0.5,depth_nm+,1.139597e-04,-4.437097e-05
A_pocket,case_i_center,20.0,0.5,depth_nm-,1.342799e-06,2.763513e-05
A_pocket,case_i_center,20.0,0.5,half_x_nm+,-6.882963e-04,-8.828616e-03
A_pocket,case_i_center,20.0,0.5,half_x_nm-,3.060172e-04,-7.022960e-04
A_pocket,case_i_center,20.0,0.5,half_z_nm+,-4.693439e-04,-1.042129e-01
A_pocket,case_i_center,20.0,0.5,half_z_nm-,1.231196e-04,-2.080601e-04
A_pocket,case_i_center,20.0,0.5,period_nm+,2.667490e-05,-1.048424e-05
A_pocket,case_i_center,20.0,0.5,period_nm-,1.453426e-04,-1.281605e-04
A_pocket,case_i_center,20.0,1.0,baseline,2.222428e-04,-1.809023e-04
A_pocket,case_i_center,20.0,1.0,depth_nm+,-3.894394e-04,-4.851693e-05
A_pocket,case_i_center,20.0,1.0,depth_nm-,1.402327e-05,3.245039e-05
A_pocket,case_i_center,20.0,1.0,half_x_nm+,-1.781656e-03,-2.497750e-02
A_pocket,case_i_center,20.0,1.0,half_x_nm-,5.903041e-04,-6.901112e-04
A_pocket,case_i_center,20.0,1.0,half_z_nm+,-1.513838e-03,-1.196832e-01
A_pocket,case_i_center,20.0,1.0,half_z_nm-,2.653923e-04,-8.025130e-05
A_pocket,case_i_center,20.0,1.0,period_nm+,1.667463e-04,-3.759727e-06
A_pocket,case_i_center,20.0,1.0,period_nm-,5.068555e-04,-8.866318e-05
A_pocket,case_ii_edge,5.0,0.5,baseline,-1.494526e-02,3.613713e-01
A_pocket,case_ii_edge,5.0,0.5,depth_nm+,3.196313e-03,-5.509777e-02
A_pocket,case_ii_edge,5.0,0.5,depth_nm-,-4.112104e-04,6.161490e-03
A_pocket,case_ii_edge,5.0,0.5,half_x_nm+,1.626714e-02,-9.777538e-02
A_pocket,case_ii_edge,5.0,0.5,half_x_nm-,-6.275452e-04,-3.718405e-02
A_pocket,case_ii_edge,5.0,0.5,half_z_nm+,3.669802e-03,-2.914039e-02
A_pocket,case_ii_edge,5.0,0.5,half_z_nm-,-1.266507e-03,4.495346e-02
A_pocket,case_ii_edge,5.0,0.5,period_nm+,-9.478263e-05,-4.402728e-03
A_pocket,case_ii_edge,5.0,0.5,period_nm-,-5.756437e-03,1.335758e-04
A_pocket,case_ii_edge,5.0,1.0,baseline,-2.726941e-04,-7.479745e-02
A_pocket,case_ii_edge,5.0,1.0,depth_nm+,1.175848e-02,-1.300362e-02
A_pocket,case_ii_edge,5.0,1.0,depth_nm-,1.669873e-04,1.187199e-03
A_pocket,case_ii_edge,5.0,1.0,half_x_nm+,4.083859e-03,1.087285e-02
A_pocket,case_ii_edge,5.0,1.0,half_x_nm-,7.868724e-06,2.039811e-03
