model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A_pocket,case_ii_edge,20.0,1.0,baseline,-4.033153e-06,-8.092417e-05
A_pocket,case_ii_edge,20.0,1.0,period_nm-,-2.572866e-05,-1.150010e-08
A_pocket,case_ii_edge,20.0,1.0,period_nm+,-5.246859e-05,-1.024831e-04
A_pocket,case_ii_edge,20.0,1.0,depth_nm-,4.376786e-05,-9.179629e-06
A_pocket,case_ii_edge,20.0,1.0,depth_nm+,2.834011e-05,-1.137211e-04
A_pocket,case_ii_edge,20.0,1.0,half_x_nm-,-5.757984e-05,-3.762376e-05
A_pocket,case_ii_edge,20.0,1.0,half_x_nm+,7.092273e-05,-4.172529e-06
A_pocket,case_ii_edge,20.0,1.0,half_z_nm-,-2.218362e-05,-5.589150e-05
A_pocket,case_ii_edge,20.0,1.0,half_z_nm+,-2.732081e-05,-1.261353e-04
B_z,case_ii_edge,10.0,0.5,baseline,2.035774e-03,-4.080201e-04
B_z,case_ii_edge,10.0,0.5,period_nm-,-2.421895e-04,2.043019e-05
B_z,case_ii_edge,10.0,0.5,period_nm+,3.788085e-03,1.050086e-05
B_z,case_ii_edge,10.0,0.5,depth_nm-,-1.573865e-03,-8.116508e-05
B_z,case_ii_edge,10.0,0.5,depth_nm+,-3.114413e-04,-1.756948e-03
B_z,case_ii_edge,10.0,0.5,half_x_nm-,-2.855570e-04,5.244055e-04
B_z,case_ii_edge,10.0,0.5,half_x_nm+,-2.970815e-03,2.956038e-04
B_z,case_ii_edge,10.0,0.5,half_z_nm-,1.919856e-03,4.719028e-05
B_z,case_ii_edge,10.0,0.5,half_z_nm+,2.996815e-03,-3.654233e-04
B_z,case_ii_edge,10.0,1.0,baseline,-1.334184e-02,-4.695197e-05
B_z,case_ii_edge,10.0,1.0,period_nm-,2.671611e-03,2.882928e-05
B_z,case_ii_edge,10.0,1.0,period_nm+,-1.955040e-02,1.215302e-04
B_z,case_ii_edge,10.0,1.0,depth_nm-,8.486274e-03,-6.632170e-05
B_z,case_ii_edge,10.0,1.0,depth_nm+,-4.782843e-03,-9.117686e-04
B_z,case_ii_edge,10.0,1.0,half_x_nm-,3.827656e-03,2.537578e-04
B_z,case_ii_edge,10.0,1.0,half_x_nm+,1.717121e-02,3.606358e-05
B_z,case_ii_edge,10.0,1.0,half_z_nm-,-1.080863e-02,1.110084e-04
B_z,case_ii_edge,10.0,1.0,half_z_nm+,-1.758668e-02,1.342537e-04
B_z,case_ii_edge,20.0,0.5,baseline,-2.993991e-04,-7.261577e-04
B_z,case_ii_edge,20.0,0.5,period_nm-,1.905895e-04,-1.891086e-07
B_z,case_ii_edge,20.0,0.5,period_nm+,-2.402265e-04,-8.284790e-04
B_z,case_ii_edge,20.0,0.5,depth_nm-,-3.858080e-04,-9.551087e-05
B_z,case_ii_edge,20.0,0.5,depth_nm+,-4.472983e-04,-1.224892e-03
B_z,case_ii_edge,20.0,0.5,half_x_nm-,4.004500e-04,-1.982786e-04
B_z,case_ii_edge,20.0,0.5,half_x_nm+,-5.795283e-04,-4.666976e-05
B_z,case_ii_edge,20.0,0.5,half_z_nm-,3.071237e-05,-4.281192e-04
B_z,case_ii_edge,20.0,0.5,half_z_nm+,-5.257017e-05,-1.067872e-03
B_z,case_ii_edge,20.0,1.0,baseline,-3.183769e-04,-4.368080e-04
B_z,case_ii_edge,20.0,1.0,period_nm-,6.177210e-04,-1.114706e-06
B_z,case_ii_edge,20.0,1.0,period_nm+,2.613798e-04,-4.648835e-04
B_z,case_ii_edge,20.0,1.0,depth_nm-,-9.100900e-04,-4.782749e-05
B_z,case_ii_edge,20.0,1.0,depth_nm+,-8.738772e-04,-6.942490e-04
B_z,case_ii_edge,20.0,1.0,half_x_nm-,1.140117e-03,-1.121603e-04
B_z,case_ii_edge,20.0,1.0,half_x_nm+,-1.510213e-03,1.264378e-05
B_z,case_ii_edge,20.0,1.0,half_z_nm-,3.384518e-04,-2.578338e-04
B_z,case_ii_edge,20.0,1.0,half_z_nm+,3.113776e-04,-6.496518e-04
B_x,case_ii_edge,10.0,0.5,baseline,-1.236943e-02,-7.989451e-05
B_x,case_ii_edge,10.0,0.5,period_nm-,4.661602e-03,4.430932e-05
B_x,case_ii_edge,10.0,0.5,period_nm+,-1.013338e-02,8.048134e-05
B_x,case_ii_edge,10.0,0.5,depth_nm-,8.782366e-03,-1.162309e-04
B_x,case_ii_edge,10.0,0.5,depth_nm+,-3.812975e-03,-9.275361e-04
B_x,case_ii_edge,10.0,0.5,half_x_nm-,3.476058e-03,3.056721e-04
B_x,case_ii_edge,10.0,0.5,half_x_nm+,1.797471e-02,-4.749453e-05
B_x,case_ii_edge,10.0,0.5,half_z_nm-,-1.047297e-02,1.447370e-04
B_x,case_ii_edge,10.0,0.5,half_z_nm+,-1.548486e-02,1.502036e-04
B_x,case_ii_edge,10.0,1.0,baseline,-1.331262e-02,-2.321420e-07
B_x,case_ii_edge,10.0,1.0,period_nm-,6.035520e-03,3.704500e-04
B_x,case_ii_edge,10.0,1.0,period_nm+,-1.078483e-02,9.458911e-04
B_x,case_ii_edge,10.0,1.0,depth_nm-,8.033937e-03,-6.618324e-04
B_x,case_ii_edge,10.0,1.0,depth_nm+,-4.899252e-03,-9.145470e-03
B_x,case_ii_edge,10.0,1.0,half_x_nm-,4.556410e-03,2.495793e-03
B_x,case_ii_edge,10.0,1.0,half_x_nm+,1.747855e-02,1.553054e-03
B_x,case_ii_edge,10.0,1.0,half_z_nm-,-1.046112e-02,1.645893e-03
B_x,case_ii_edge,10.0,1.0,half_z_nm+,-1.634005e-02,1.707694e-03
B_x,case_ii_edge,20.0,0.5,baseline,2.300972e-05,-9.663820e-06
B_x,case_ii_edge,20.0,0.5,period_nm-,-1.126859e-04,8.243598e-07
B_x,case_ii_edge,20.0,0.5,period_nm+,-1.531048e-05,-8.690998e-06
B_x,case_ii_edge,20.0,0.5,depth_nm-,1.056294e-04,-1.397861e-06
B_x,case_ii_edge,20.0,0.5,depth_nm+,7.969255e-05,-1.459638e-05
B_x,case_ii_edge,20.0,0.5,half_x_nm-,-1.062311e-04,-2.669057e-06
B_x,case_ii_edge,20.0,0.5,half_x_nm+,1.814152e-04,-6.092264e-07
B_x,case_ii_edge,20.0,0.5,half_z_nm-,-3.856895e-05,-6.130865e-06
B_x,case_ii_edge,20.0,0.5,half_z_nm+,-3.366913e-05,-1.348446e-05
B_x,case_ii_edge,20.0,1.0,baseline,-7.347616e-04,-1.529184e-03
B_x,case_ii_edge,20.0,1.0,period_nm-,3.119524e-03,2.438839e-05
B_x,case_ii_edge,20.0,1.0,period_nm+,3.590166e-04,-9.020117e-04
B_x,case_ii_edge,20.0,1.0,depth_nm-,-2.835427e-03,-1.591272e-04
B_x,case_ii_edge,20.0,1.0,depth_nm+,-3.036188e-03,-2.122635e-03
B_x,case_ii_edge,20.0,1.0,half_x_nm-,2.761460e-03,-3.425553e-04
B_x,case_ii_edge,20.0,1.0,half_x_nm+,-5.139210e-03,1.416168e-04
B_x,case_ii_edge,20.0,1.0,half_z_nm-,8.354871e-04,-9.547932e-04
B_x,case_ii_edge,20.0,1.0,half_z_nm+,2.601733e-04,-2.127155e-03
