ansatz,block,case,v_m_per_s,lambda_ueV,geometry,dP_v,dchi_phi
A_pocket,1,case_i_center,5.0,0.5,half_x_nm-,6.70247863958015e-05,-0.0001172384833716309
A_pocket,1,case_i_center,5.0,0.5,half_z_nm+,-0.00011672717015228859,0.00011245478370616388
A_pocket,1,case_i_center,5.0,0.5,half_z_nm-,8.487459553872465e-05,8.634515124276683e-05
A_pocket,1,case_i_center,5.0,0.5,period_nm+,9.056360713337319e-05,2.2962818181476198e-05
A_pocket,1,case_i_center,5.0,0.5,period_nm-,-0.00013957041837652645,-0.0002739603002370316
A_pocket,1,case_i_center,5.0,1.0,baseline,-0.0004453686736781426,-0.0012052395731439094
A_pocket,1,case_i_center,5.0,1.0,depth_nm+,-1.2131234756653647e-05,0.0023336779100745914
A_pocket,1,case_i_center,5.0,1.0,depth_nm-,-0.0001109423169811663,-0.0004977715687841397
A_pocket,1,case_i_center,5.0,1.0,half_x_nm+,0.0006133982320196303,0.001329515740993402
A_pocket,1,case_i_center,5.0,1.0,half_x_nm-,0.00046866148302709965,-0.0002327098895885376
A_pocket,1,case_i_center,5.0,1.0,half_z_nm+,-0.0008036015630720345,2.701942522595306e-05
A_pocket,1,case_i_center,5.0,1.0,half_z_nm-,0.00026780655545440447,0.0006447018205232493
A_pocket,1,case_i_center,5.0,1.0,period_nm+,0.0006691562470069468,-0.0007648717494880344
A_pocket,1,case_i_center,5.0,1.0,period_nm-,-0.0003506175364652031,-0.0019743465728073936
A_pocket,1,case_i_center,10.0,0.5,baseline,-3.181110311000976e-05,-1.541302326823926e-06
A_pocket,1,case_i_center,10.0,0.5,depth_nm+,-2.8555504850901522e-05,1.2759403274635248e-05
A_pocket,1,case_i_center,10.0,0.5,depth_nm-,-2.2791305636291753e-05,-1.9864663012003885e-06
A_pocket,1,case_i_center,10.0,0.5,half_x_nm+,-8.484671331647833e-06,1.1055039172181715e-05
A_pocket,1,case_i_center,10.0,0.5,half_x_nm-,-6.510254821720518e-06,-5.2582621340311795e-06
A_pocket,1,case_i_center,10.0,0.5,half_z_nm+,2.279370181485288e-05,-3.680243879543451e-06
A_pocket,1,case_i_center,10.0,0.5,half_z_nm-,-6.768188222354031e-06,4.833561575735254e-06
A_pocket,1,case_i_center,10.0,0.5,period_nm+,-1.702322725603833e-05,1.1016727052873666e-05
A_pocket,1,case_i_center,10.0,0.5,period_nm-,-3.510581699645021e-08,-6.030371537910648e-06
A_pocket,1,case_i_center,10.0,1.0,baseline,3.020785419034777e-05,-9.84311653898733e-06
A_pocket,1,case_i_center,10.0,1.0,depth_nm+,6.0013458547985427e-05,3.534617265313431e-05
A_pocket,1,case_i_center,10.0,1.0,depth_nm-,5.640850848892542e-06,-9.204668369726388e-06
A_pocket,1,case_i_center,10.0,1.0,half_x_nm+,2.3596468887112157e-05,3.6522057957829874e-05
A_pocket,1,case_i_center,10.0,1.0,half_x_nm-,1.840476341598285e-05,-2.043115068658453e-05
A_pocket,1,case_i_center,10.0,1.0,half_z_nm+,-9.767889395963236e-05,1.4955366975921962e-06
